NUM,WORD,INFRACTION_RATE
82,WOK,0.975609756097561
156,JAPANESE,0.9551282051282052
222,CHINESE,0.9369369369369369
129,MCDONALDS,0.9302325581395349
180,PUB,0.9277777777777778
91,BAGEL,0.9230769230769231
95,WING,0.9157894736842105
1713,RESTAURANT,0.9118505545826037
103,GOLDEN,0.9029126213592233
164,PLACE,0.9024390243902439
194,INDIAN,0.9020618556701031
296,THAI,0.902027027027027
405,CUISINE,0.9012345679012346
169,FISH,0.8994082840236687
153,PHO,0.8954248366013072
218,BISTRO,0.8899082568807339
124,GREEK,0.8870967741935484
105,OUT,0.8857142857142857
94,COUNTRY,0.8829787234042553
85,SUB,0.8823529411764706
100,POPEYES,0.88
150,GARDEN,0.88
91,PITA,0.8791208791208791
90,TAKE,0.8777777777777778
570,BAKERY,0.875438596491228
208,DELI,0.875
151,ESPRESSO,0.8741721854304636
102,BANQUET,0.8725490196078431
202,KING,0.8712871287128713
783,GRILL,0.8697318007662835
189,CUP,0.8677248677248677
215,MR,0.8651162790697674
148,SHAWARMA,0.8648648648648649
131,QUEEN,0.8625954198473282
188,SECOND,0.8617021276595744
676,HOUSE,0.8594674556213018
213,DAY,0.8591549295774648
204,NEW,0.8578431372549019
217,CAFETERIA,0.8571428571428571
105,PUBLIC,0.8571428571428571
84,DONUTS,0.8571428571428571
111,TASTE,0.8558558558558559
97,CHIPS,0.8556701030927835
110,ROTI,0.8545454545454545
123,SEAFOOD,0.8536585365853658
191,SUPERMARKET,0.8534031413612565
259,CATERING,0.8532818532818532
525,TIM,0.8495238095238096
527,HORTONS,0.8481973434535104
91,ONE,0.8461538461538461
101,HOME,0.8415841584158416
151,TIME,0.8410596026490066
88,JERK,0.8409090909090909
194,CARIBBEAN,0.8402061855670103
100,EATERY,0.84
134,NOODLE,0.835820895522388
164,SPORTS,0.8353658536585366
417,SUBWAY,0.8345323741007195
84,MEATS,0.8333333333333334
102,STYLE,0.8333333333333334
487,CARE,0.8316221765913757
652,SUSHI,0.8312883435582822
129,HALAL,0.8294573643410853
139,BURRITO,0.8273381294964028
1335,PIZZA,0.8269662921348314
120,IN,0.825
136,VILLAGE,0.8235294117647058
113,HUT,0.8230088495575221
1383,BAR,0.819233550253073
160,GOURMET,0.81875
125,STREET,0.816
86,EL,0.813953488372093
219,MEAT,0.8127853881278538
836,CENTRE,0.8110047846889952
136,FOR,0.8088235294117647
140,ROYAL,0.8071428571428572
202,FINE,0.806930693069307
113,FAMILY,0.8053097345132744
97,NO,0.8041237113402062
285,ON,0.8035087719298246
193,YORK,0.8031088082901554
172,COMMUNITY,0.8023255813953488
255,BURGER,0.8
329,CHILD,0.7933130699088146
87,EARLY,0.7931034482758621
1286,CAFE,0.7923794712286159
224,CLUB,0.7901785714285714
85,DE,0.788235294117647
299,CHICKEN,0.7859531772575251
416,OF,0.7836538461538461
97,STOP,0.7835051546391752
203,BBQ,0.7832512315270936
1996,THE,0.783066132264529
106,STAR,0.7830188679245284
170,FRUIT,0.7823529411764706
707,COFFEE,0.7807637906647807
200,JUICE,0.78
158,GROCERY,0.7784810126582279
153,PARK,0.7777777777777778
